observation_id,storm_id,storm_name,source_split,observation_timestamp,sensor,input_path,center_lat,center_lon,target_ms,target_category,ri_24h_change_ms,is_rapid_intensification,ibtracs_lower_fix_timestamp,ibtracs_upper_fix_timestamp,target_eye_size_km,target_rmw_km,target_r34_km,target_r50_km,target_r64_km,inference_valid,inference_issue,unet_raw_max_ms,unet_raw_category,unet_correction_ms,unet_correction_delta_ms,unet_correction_category,joint_unet_mlp_ms,joint_unet_mlp_category,correction_image_radii_max_wind_ms,correction_image_radii_eye_size_km,correction_image_radii_rmw_km,correction_image_radii_r34_km,correction_image_radii_r50_km,correction_image_radii_r64_km,correction_image_radii_image_rmw_km,correction_image_radii_image_r34_km,correction_image_radii_image_r50_km,correction_image_radii_image_r64_km,correction_mlp_radii_max_wind_ms,correction_mlp_radii_eye_size_km,correction_mlp_radii_rmw_km,correction_mlp_radii_r34_km,correction_mlp_radii_r50_km,correction_mlp_radii_r64_km,correction_mlp_radii_image_rmw_km,correction_mlp_radii_image_r34_km,correction_mlp_radii_image_r50_km,correction_mlp_radii_image_r64_km,latent_sar_era5_max_wind_max_wind_ms,latent_sar_era5_max_wind_eye_size_km,latent_sar_era5_max_wind_rmw_km,latent_sar_era5_max_wind_r34_km,latent_sar_era5_max_wind_r50_km,latent_sar_era5_max_wind_r64_km,latent_sar_era5_max_wind_image_rmw_km,latent_sar_era5_max_wind_image_r34_km,latent_sar_era5_max_wind_image_r50_km,latent_sar_era5_max_wind_image_r64_km,latent_sar_era5_max_wind_radii_max_wind_ms,latent_sar_era5_max_wind_radii_eye_size_km,latent_sar_era5_max_wind_radii_rmw_km,latent_sar_era5_max_wind_radii_r34_km,latent_sar_era5_max_wind_radii_r50_km,latent_sar_era5_max_wind_radii_r64_km,latent_sar_era5_max_wind_radii_image_rmw_km,latent_sar_era5_max_wind_radii_image_r34_km,latent_sar_era5_max_wind_radii_image_r50_km,latent_sar_era5_max_wind_radii_image_r64_km,latent_no_sar_era5_max_wind_max_wind_ms,latent_no_sar_era5_max_wind_eye_size_km,latent_no_sar_era5_max_wind_rmw_km,latent_no_sar_era5_max_wind_r34_km,latent_no_sar_era5_max_wind_r50_km,latent_no_sar_era5_max_wind_r64_km,latent_no_sar_era5_max_wind_image_rmw_km,latent_no_sar_era5_max_wind_image_r34_km,latent_no_sar_era5_max_wind_image_r50_km,latent_no_sar_era5_max_wind_image_r64_km,latent_no_sar_era5_max_wind_radii_max_wind_ms,latent_no_sar_era5_max_wind_radii_eye_size_km,latent_no_sar_era5_max_wind_radii_rmw_km,latent_no_sar_era5_max_wind_radii_r34_km,latent_no_sar_era5_max_wind_radii_r50_km,latent_no_sar_era5_max_wind_radii_r64_km,latent_no_sar_era5_max_wind_radii_image_rmw_km,latent_no_sar_era5_max_wind_radii_image_r34_km,latent_no_sar_era5_max_wind_radii_image_r50_km,latent_no_sar_era5_max_wind_radii_image_r64_km,era5_max_wind_ms,era5_valid_timestamp
AL082025:geo:f5d084abf6b2169a,AL082025,Humberto,val,2025-09-24 12:00:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924120019_AL082025_[+19.114deg_-53.609deg]_512_patch.nc,19.10086744499695,-53.60056609200335,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,111.10370925925926,78.57370552544917,,,True,,25.105785369873047,0.0,24.95758438110352,-0.1482007056474685,0.0,24.532384872436523,0.0,24.886707305908203,,,,,,65.0,26.172001639300237,0.0,0.0,24.32976722717285,4.047101974487305,30.595531463623047,113.3002700805664,60.90375900268555,37.46123504638672,65.0,26.172001639300237,0.0,0.0,19.25145149230957,,,,,,145.0,0.0,0.0,0.0,20.195486068725582,4.037606239318848,45.35714340209961,92.7672348022461,40.5474967956543,30.18711471557617,115.0,0.0,0.0,0.0,23.451608657836918,,,,,,,,,,20.632049560546875,4.02390718460083,44.42978286743164,93.79890441894533,41.79967498779297,30.679821014404297,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:0e1137a4553efb8b,AL082025,Humberto,val,2025-09-24 12:10:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924121019_AL082025_[+19.140deg_-53.628deg]_512_patch.nc,19.12789861044066,-53.61873478949363,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,110.58926481481484,78.57370552544917,,,True,,24.2124137878418,0.0,24.040203094482425,-0.1722104102373123,0.0,23.91959381103516,0.0,23.99329376220703,,,,,,65.0,26.631830191363285,0.0,0.0,23.446378707885746,4.0466718673706055,30.198734283447266,111.65692901611328,60.0471076965332,36.95795822143555,65.0,26.631830191363285,0.0,0.0,19.266849517822266,,,,,,145.0,0.0,0.0,0.0,20.239089965820312,4.03764533996582,45.48086166381836,93.3541030883789,40.82150268554688,30.35326385498047,115.0,0.0,0.0,0.0,23.970609664916992,,,,,,,,,,20.79523086547852,4.023807048797607,43.75297164916992,92.61566162109376,41.32158660888672,30.29880142211914,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:db65e520bdc6bf93,AL082025,Humberto,val,2025-09-24 12:20:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924122019_AL082025_[+19.167deg_-53.647deg]_512_patch.nc,19.154243395634165,-53.637459882419165,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,110.07482037037038,78.57370552544917,,,True,,23.408679962158203,0.0,23.211774826049805,-0.1969045102596283,0.0,23.533979415893555,0.0,23.189510345458984,,,,,,55.0,27.18285979387708,0.0,0.0,22.650978088378903,4.04630708694458,29.867584228515625,110.28548431396484,59.33218383789063,36.53792953491211,55.0,27.18285979387708,0.0,0.0,19.335468292236328,,,,,,155.0,0.0,0.0,0.0,20.257152557373047,4.037664413452148,45.53448867797852,93.60440826416016,40.93821716308594,30.42420196533203,105.0,0.0,0.0,0.0,24.943830490112305,,,,,,,,,,20.86993789672852,4.023764610290527,43.21514892578125,91.39767456054688,40.7979736328125,29.91966819763184,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:65e118567c29c843,AL082025,Humberto,val,2025-09-24 12:30:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924123019_AL082025_[+19.192deg_-53.666deg]_512_patch.nc,19.17992406194324,-53.6567267698492,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,109.56037592592592,78.57370552544917,,,True,,22.830230712890625,0.0,22.609390258789062,-0.2208406776189804,0.0,23.57274627685547,0.0,22.61102294921875,,,,,,55.0,27.37923749139724,0.0,0.0,22.07938766479492,4.046006679534912,29.595029830932617,109.15675354003906,58.743778228759766,36.19222259521485,55.0,27.37923749139724,0.0,0.0,19.421749114990234,,,,,,145.0,0.0,0.0,0.0,20.26963806152344,4.037699222564697,45.60477828979492,93.87552642822266,41.06232833862305,30.50229263305664,25.0,0.0,0.0,0.0,25.449901580810547,,,,,,,,,,20.77412414550781,4.023796558380127,42.97184371948242,90.20079803466795,40.23021697998047,29.57616233825684,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:759283cf7b0f53ef,AL082025,Humberto,val,2025-09-24 12:40:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924124019_AL082025_[+19.217deg_-53.686deg]_512_patch.nc,19.20496287073366,-53.676520850853,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,109.04593148148147,78.57370552544917,,,True,,22.793190002441406,0.0,22.5496768951416,-0.2435133308172226,0.0,23.59224510192871,0.0,22.573936462402344,,,,,,55.0,27.720535922911623,0.0,0.0,22.047513961791992,4.045779228210449,29.3897762298584,108.30673217773438,58.30066680908203,35.93187713623047,55.0,27.720535922911623,0.0,0.0,19.3288516998291,,,,,,145.0,0.0,0.0,0.0,20.25077438354492,4.0379791259765625,46.18933868408203,95.52178192138672,41.78309631347656,30.993656158447266,15.0,0.0,0.0,0.0,25.93613815307617,,,,,,,,,,21.097766876220703,4.023652076721191,42.51923370361328,90.47205352783205,40.45027160644531,29.595645904541016,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:665dba5229bfc68d,AL082025,Humberto,val,2025-09-24 12:50:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924125019_AL082025_[+19.241deg_-53.707deg]_512_patch.nc,19.229382083371192,-53.69682752449981,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,108.53148703703704,78.57370552544917,,,True,,22.88664436340332,0.0,22.6219425201416,-0.2647023200988769,0.0,23.293323516845703,0.0,22.667335510253903,,,,,,55.0,27.71803266520151,0.0,0.0,22.14401054382324,4.045641899108887,29.2691650390625,107.8072509765625,58.040287017822266,35.77888488769531,55.0,27.71803266520151,0.0,0.0,19.24249839782715,,,,,,145.0,0.0,0.0,0.0,20.266061782836918,4.038112163543701,46.48711013793945,96.48688507080078,42.21481323242188,31.277217864990234,5.0,0.0,0.0,0.0,25.9980411529541,,,,,,,,,,21.07745933532715,4.023608684539795,41.64956283569336,87.80438995361328,39.24664306640625,28.79840469360352,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:7ffb210cc014b83a,AL082025,Humberto,val,2025-09-24 13:00:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924130019_AL082025_[+19.264deg_-53.728deg]_512_patch.nc,19.25320396122161,-53.71763218985886,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,108.0170425925926,78.57370552544917,,,True,,22.88563346862793,0.0,22.599586486816406,-0.2860465347766876,0.0,23.36572265625,0.0,22.66627311706543,,,,,,55.0,27.617626301631564,0.0,0.0,22.144983291625977,4.0455498695373535,29.19047164916992,107.48133850097656,57.87037658691406,35.679046630859375,55.0,27.617626301631564,0.0,0.0,19.18850898742676,,,,,,5.0,0.0,0.0,0.0,20.30133628845215,4.0381760597229,46.64731216430664,97.14292907714844,42.51694107055664,31.465621948242188,5.0,0.0,0.0,0.0,25.529821395874023,,,,,,,,,,21.0695915222168,4.023561954498291,40.8714599609375,85.4716567993164,38.19747161865234,28.09976959228516,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:79d5231958d31f9f,AL082025,Humberto,val,2025-09-24 13:10:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924131019_AL082025_[+19.287deg_-53.749deg]_512_patch.nc,19.276450765650697,-53.73892024599945,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,107.50259814814817,78.57370552544917,,,True,,22.82686233520508,0.0,22.521503448486328,-0.3053597807884216,0.0,23.769020080566406,0.0,22.607446670532227,,,,,,55.0,27.61569648449717,0.0,0.0,22.08506965637207,4.045594692230225,29.23584747314453,107.6692123413086,57.968299865722656,35.736568450927734,55.0,27.61569648449717,0.0,0.0,19.16016387939453,,,,,,5.0,0.0,0.0,0.0,20.34061050415039,4.038207530975342,46.74440383911133,97.63150024414062,42.74639129638672,31.60365295410156,5.0,0.0,0.0,0.0,25.175539016723636,,,,,,,,,,21.091278076171875,4.023547172546387,40.68620300292969,85.03459930419922,38.00819396972656,27.964754104614254,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:ac06b9af58b6f350,AL082025,Humberto,val,2025-09-24 13:20:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924132019_AL082025_[+19.310deg_-53.771deg]_512_patch.nc,19.299144758024216,-53.76067709199079,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,106.98815370370372,78.57370552544917,,,True,,22.55893325805664,0.0,22.23481559753418,-0.3241184055805206,0.0,23.809978485107425,0.0,22.33945846557617,,,,,,55.0,27.36832912126768,0.0,0.0,21.813949584960938,4.045727252960205,29.3629150390625,108.19550323486328,58.242637634277344,35.89772415161133,55.0,27.36832912126768,0.0,0.0,19.160133361816406,,,,,,5.0,0.0,0.0,0.0,20.39496612548828,4.038066864013672,46.490665435791016,97.14888763427734,42.55167388916016,31.450889587402344,5.0,0.0,0.0,0.0,24.743240356445312,,,,,,,,,,20.56321144104004,4.023747444152832,40.98749923706055,83.3175048828125,37.07783508300781,27.549640655517575,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:03943b863284d38e,AL082025,Humberto,val,2025-09-24 13:30:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924133019_AL082025_[+19.332deg_-53.794deg]_512_patch.nc,19.321308199707943,-53.78288812690212,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,106.47370925925928,78.57370552544917,,,True,,22.331317901611328,0.0,21.99087905883789,-0.3404384255409241,0.0,23.62928581237793,0.0,22.11178207397461,,,,,,55.0,27.26818384650498,0.0,0.0,21.5836238861084,4.045838832855225,29.470932006835938,108.64286041259766,58.475830078125,36.03471755981445,55.0,27.26818384650498,0.0,0.0,19.197912216186523,,,,,,5.0,0.0,0.0,0.0,20.47016143798828,4.0380024909973145,46.40254974365234,97.26543426513672,42.629051208496094,31.4721794128418,5.0,0.0,0.0,0.0,24.229957580566406,,,,,,,,,,20.35856056213379,4.023845672607422,41.25475692749024,83.0907974243164,36.91239929199219,27.51803207397461,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
