observation_id,storm_id,storm_name,source_split,observation_timestamp,sensor,input_path,center_lat,center_lon,target_ms,target_category,ri_24h_change_ms,is_rapid_intensification,ibtracs_lower_fix_timestamp,ibtracs_upper_fix_timestamp,target_eye_size_km,target_rmw_km,target_r34_km,target_r50_km,target_r64_km,inference_valid,inference_issue,unet_raw_max_ms,unet_raw_category,unet_correction_ms,unet_correction_delta_ms,unet_correction_category,joint_unet_mlp_ms,joint_unet_mlp_category,latent_sar_no_era5_max_wind_max_wind_ms,latent_sar_no_era5_max_wind_eye_size_km,latent_sar_no_era5_max_wind_rmw_km,latent_sar_no_era5_max_wind_r34_km,latent_sar_no_era5_max_wind_r50_km,latent_sar_no_era5_max_wind_r64_km,latent_sar_no_era5_max_wind_image_rmw_km,latent_sar_no_era5_max_wind_image_r34_km,latent_sar_no_era5_max_wind_image_r50_km,latent_sar_no_era5_max_wind_image_r64_km,latent_sar_no_era5_max_wind_radii_max_wind_ms,latent_sar_no_era5_max_wind_radii_eye_size_km,latent_sar_no_era5_max_wind_radii_rmw_km,latent_sar_no_era5_max_wind_radii_r34_km,latent_sar_no_era5_max_wind_radii_r50_km,latent_sar_no_era5_max_wind_radii_r64_km,latent_sar_no_era5_max_wind_radii_image_rmw_km,latent_sar_no_era5_max_wind_radii_image_r34_km,latent_sar_no_era5_max_wind_radii_image_r50_km,latent_sar_no_era5_max_wind_radii_image_r64_km,latent_no_sar_no_era5_max_wind_max_wind_ms,latent_no_sar_no_era5_max_wind_eye_size_km,latent_no_sar_no_era5_max_wind_rmw_km,latent_no_sar_no_era5_max_wind_r34_km,latent_no_sar_no_era5_max_wind_r50_km,latent_no_sar_no_era5_max_wind_r64_km,latent_no_sar_no_era5_max_wind_image_rmw_km,latent_no_sar_no_era5_max_wind_image_r34_km,latent_no_sar_no_era5_max_wind_image_r50_km,latent_no_sar_no_era5_max_wind_image_r64_km,latent_no_sar_no_era5_max_wind_radii_max_wind_ms,latent_no_sar_no_era5_max_wind_radii_eye_size_km,latent_no_sar_no_era5_max_wind_radii_rmw_km,latent_no_sar_no_era5_max_wind_radii_r34_km,latent_no_sar_no_era5_max_wind_radii_r50_km,latent_no_sar_no_era5_max_wind_radii_r64_km,latent_no_sar_no_era5_max_wind_radii_image_rmw_km,latent_no_sar_no_era5_max_wind_radii_image_r34_km,latent_no_sar_no_era5_max_wind_radii_image_r50_km,latent_no_sar_no_era5_max_wind_radii_image_r64_km,era5_max_wind_ms,era5_valid_timestamp
AL082025:geo:f5d084abf6b2169a,AL082025,Humberto,val,2025-09-24 12:00:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924120019_AL082025_[+19.114deg_-53.609deg]_512_patch.nc,19.10086744499695,-53.60056609200335,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,111.10370925925926,78.57370552544917,,,True,,25.00299072265625,0.0,23.28358268737793,-1.7194087505340576,0.0,23.05827522277832,0.0,27.4161319732666,,,,,,5.0,0.0,0.0,0.0,24.03626251220703,4.029756546020508,57.81689453125,128.64013671875,60.83073043823242,52.09526824951172,25.0,0.0,0.0,0.0,25.306739807128903,,,,,,,,,,21.45382308959961,4.020285129547119,65.93762969970703,144.37332153320312,62.02640914916992,50.42331314086914,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:0e1137a4553efb8b,AL082025,Humberto,val,2025-09-24 12:10:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924121019_AL082025_[+19.140deg_-53.628deg]_512_patch.nc,19.12789861044066,-53.61873478949363,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,110.58926481481484,78.57370552544917,,,True,,25.540925979614254,0.0,23.68882751464844,-1.852097988128662,0.0,24.079633712768555,0.0,26.480138778686523,,,,,,35.0,0.0,0.0,0.0,26.194128036499023,4.033967018127441,56.08414459228516,135.1502227783203,63.94464111328125,52.82044982910156,35.0,0.0,0.0,0.0,25.89815902709961,,,,,,,,,,21.512012481689453,4.02061939239502,67.379638671875,148.5040283203125,63.80387496948242,51.73817825317383,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:db65e520bdc6bf93,AL082025,Humberto,val,2025-09-24 12:20:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924122019_AL082025_[+19.167deg_-53.647deg]_512_patch.nc,19.154243395634165,-53.637459882419165,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,110.07482037037038,78.57370552544917,,,True,,26.00791931152344,0.0,23.939111709594727,-2.068808078765869,0.0,25.69516372680664,0.0,25.660972595214844,,,,,,35.0,0.0,0.0,0.0,26.96657371520996,4.035181999206543,54.81441116333008,135.91372680664062,64.3414077758789,52.482521057128906,25.0,0.0,0.0,0.0,26.37411117553711,,,,,,,,,,21.611446380615234,4.021088600158691,68.7523193359375,152.6790313720703,65.6137924194336,53.05473709106445,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:65e118567c29c843,AL082025,Humberto,val,2025-09-24 12:30:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924123019_AL082025_[+19.192deg_-53.666deg]_512_patch.nc,19.17992406194324,-53.6567267698492,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,109.56037592592592,78.57370552544917,,,True,,26.24925804138184,0.0,24.04334259033203,-2.2059144973754883,0.0,25.44800567626953,0.0,24.899232864379883,,,,,,45.0,0.0,0.0,0.0,26.4559326171875,4.034487724304199,55.985145568847656,136.20887756347656,64.44602966308594,53.011024475097656,15.0,0.0,0.0,0.0,26.210376739501957,,,,,,,,,,23.328561782836918,4.024606227874756,69.19046783447266,163.78993225097656,70.94609069824219,55.92085266113281,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:759283cf7b0f53ef,AL082025,Humberto,val,2025-09-24 12:40:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924124019_AL082025_[+19.217deg_-53.686deg]_512_patch.nc,19.20496287073366,-53.676520850853,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,109.04593148148147,78.57370552544917,,,True,,26.58007431030273,0.0,24.330522537231445,-2.2495522499084477,0.0,25.26840591430664,0.0,25.432781219482425,,,,,,45.0,0.0,0.0,0.0,24.83485412597656,4.0318756103515625,59.11919403076172,135.7471923828125,64.13682556152344,54.15283203125,5.0,0.0,0.0,0.0,27.382568359375,,,,,,,,,,25.49475860595703,4.028540134429932,69.01179504394531,175.80569458007812,76.86126708984375,58.91401672363281,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:665dba5229bfc68d,AL082025,Humberto,val,2025-09-24 12:50:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924125019_AL082025_[+19.241deg_-53.707deg]_512_patch.nc,19.229382083371192,-53.69682752449981,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,108.53148703703704,78.57370552544917,,,True,,26.84877586364746,0.0,24.63341522216797,-2.215361356735229,0.0,24.752504348754883,0.0,26.73151206970215,,,,,,45.0,0.0,0.0,0.0,22.90113067626953,4.028421401977539,61.85603332519531,132.76625061035156,62.65731048583984,54.594825744628906,5.0,0.0,0.0,0.0,28.257652282714844,,,,,,,,,,26.96747589111328,4.0308990478515625,68.83544158935547,183.65411376953125,80.77481079101562,60.86616134643555,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:7ffb210cc014b83a,AL082025,Humberto,val,2025-09-24 13:00:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924130019_AL082025_[+19.264deg_-53.728deg]_512_patch.nc,19.25320396122161,-53.71763218985886,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,108.0170425925926,78.57370552544917,,,True,,26.816635131835938,0.0,24.669002532958984,-2.147632598876953,0.0,24.51160430908203,0.0,26.321931838989254,,,,,,45.0,0.0,0.0,0.0,23.935264587402344,4.030818462371826,62.08842849731445,138.45582580566406,65.32669067382812,55.92091369628906,75.0,0.0,0.0,0.0,27.432594299316406,,,,,,,,,,27.44295692443848,4.031613349914551,68.94523620605469,186.6063232421875,82.21923828125,61.63002395629883,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:79d5231958d31f9f,AL082025,Humberto,val,2025-09-24 13:10:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924131019_AL082025_[+19.287deg_-53.749deg]_512_patch.nc,19.276450765650697,-53.73892024599945,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,107.50259814814817,78.57370552544917,,,True,,26.77425193786621,0.0,24.70526123046875,-2.068991184234619,0.0,25.785079956054688,0.0,25.57966423034668,,,,,,45.0,0.0,0.0,0.0,26.07467460632324,4.035720348358154,62.36037826538086,149.69049072265625,70.60723114013672,58.47103118896485,75.0,0.0,0.0,0.0,27.099164962768555,,,,,,,,,,27.064929962158203,4.031003952026367,69.28657531738281,185.41770935058597,81.56071472167969,61.38543319702149,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:ac06b9af58b6f350,AL082025,Humberto,val,2025-09-24 13:20:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924132019_AL082025_[+19.310deg_-53.771deg]_512_patch.nc,19.299144758024216,-53.76067709199079,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,106.98815370370372,78.57370552544917,,,True,,26.375459671020508,0.0,24.34045791625977,-2.035001754760742,0.0,26.040584564208984,0.0,25.099477767944336,,,,,,55.0,0.0,0.0,0.0,27.09178924560547,4.038188934326172,62.73529815673828,155.59715270996094,73.37788391113281,59.907508850097656,75.0,0.0,0.0,0.0,26.745874404907227,,,,,,,,,,25.7795467376709,4.029116153717041,70.28060913085938,180.8066864013672,79.09295654296875,60.39631652832031,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
AL082025:geo:03943b863284d38e,AL082025,Humberto,val,2025-09-24 13:30:19+00:00,ABI,/work/code/geo2wf/inference/inf_data/goes-east/AL082025/20250924133019_AL082025_[+19.332deg_-53.794deg]_512_patch.nc,19.321308199707943,-53.78288812690212,18.00554,0,,False,2025-09-24T12:00:00+00:00,2025-09-24T15:00:00+00:00,,106.47370925925928,78.57370552544917,,,True,,25.801254272460938,0.0,23.770523071289062,-2.030730724334717,0.0,25.03852653503418,0.0,23.832592010498047,,,,,,45.0,0.0,0.0,0.0,25.606081008911133,4.035139083862305,63.41268157958984,149.88267517089844,70.67090606689453,58.93572998046875,75.0,8.229073884510681,0.0,0.0,25.562992095947266,,,,,,,,,,23.281885147094727,4.024245262145996,67.80526733398438,159.87942504882812,69.26341247558594,54.64846420288086,,,,,14.354845348653454,2025-09-24T12:00:00+00:00
