conditioning,subset,category_accuracy,category_macro_f1,field_bias_ms,field_mae_ms,field_psnr_db,field_rmse_ms,field_ssim,intensity_bias_ms,intensity_mae_95ci_high_ms,intensity_mae_95ci_low_ms,intensity_mae_delta_95ci_high_ms,intensity_mae_delta_95ci_low_ms,intensity_mae_delta_vs_unet_raw_max_ms,intensity_mae_ms,intensity_rmse_ms,model,model_key,samples,storm_macro_mae_ms,storms,within_one_category_accuracy,field_ssim_scenes
with_era5,all,0.5754716981132075,0.2693644379218166,-0.20775810756472826,2.1592794440634364,27.5863175825162,3.3318620525448512,0.8484379742826734,-3.7425199679608614,7.843160947058004,5.268886096354887,0.0,0.0,0.0,6.445825563286835,8.648782389604312,U-Net raw field diagnostic,unet_raw_max,212,6.02241238043449,38,0.8867924528301887,210
with_era5,all,0.6037735849056604,0.3698664313398011,,,,,,-1.6436584940496481,6.587488064086519,4.675918232537504,-0.34471421905290006,-1.487241502860967,-0.9171949827446122,5.528630580542223,7.172780736141172,U-Net + correction,unet_correction,212,5.42242862994003,38,0.9622641509433962,
with_era5,all,0.5518867924528302,0.2967811136232189,0.6028091520746445,2.4040477361683035,27.17356939321645,3.494012237165684,0.8393324224721818,4.298118208939174,8.064231473539156,6.605095491480356,2.0105591212258185,-0.3539260189395697,0.8565555518528205,7.302381115139656,8.56635858536924,Joint U-Net + MLP,joint_unet_mlp,212,7.907187483174154,38,0.9481132075471698,210
with_era5,rapid_intensification,0.15789473684210525,0.17045454545454547,0.295582709973957,2.219428886666429,26.947319686720984,3.586219824712563,0.8333628522722345,-14.042556863082083,18.553689019675076,9.676358355008638,0.0,0.0,0.0,14.474693398726615,16.59574746560628,U-Net raw field diagnostic,unet_raw_max,19,13.512748371471059,11,0.42105263157894735,19
with_era5,rapid_intensification,0.2631578947368421,0.26666666666666666,,,,,,-7.752835926256682,13.66576886706882,6.401963208516438,-1.7422576736001416,-5.911045466528998,-3.9628836983128597,10.511809700413755,12.136669186487019,U-Net + correction,unet_correction,19,9.927712267095393,11,0.8947368421052632,
with_era5,rapid_intensification,0.47368421052631576,0.38744343891402716,1.1849496793314327,2.4408020256650147,26.859062377506568,3.6228451578491443,0.8210957489515606,-1.1672250848067434,11.250248939650396,4.362810653448104,-3.4038346862792976,-10.368452162742614,-6.75893090900622,7.715762489720395,9.720024360161847,Joint U-Net + MLP,joint_unet_mlp,19,6.230300469831987,11,0.8947368421052632,19
without_era5,all,0.5424528301886793,0.25083849551395193,-0.48422842772242153,3.8882654085959163,23.49486848902199,5.336536287522909,0.8090123281377186,-4.79681297068326,9.14351776196185,6.053009074652989,0.0,0.0,0.0,7.5184925682139845,10.232716794624242,U-Net raw field diagnostic,unet_raw_max,212,7.036947494881975,38,0.8679245283018868,211
without_era5,all,0.5943396226415094,0.3623105453944941,,,,,,-1.177820529577867,8.084249137952968,5.515381925775142,0.1822354208484517,-1.7551924183828032,-0.8034725324162899,6.715020035797695,9.044716315096036,U-Net + correction,unet_correction,212,6.928448191847475,38,0.9198113207547169,
without_era5,all,0.6367924528301887,0.33946484549932826,-0.39325099220216836,4.169568810654986,23.081440046905335,5.5966853214646815,0.7980938488838232,-0.8506973149641505,6.854080361358596,5.046546770746818,-0.5262988670350941,-2.7008503207334775,-1.6330579991610543,5.88543456905293,7.806480089805571,Joint U-Net + MLP,joint_unet_mlp,212,6.1232361403169735,38,0.9386792452830188,211
without_era5,rapid_intensification,0.21052631578947367,0.2130952380952381,0.2659272741404062,3.298333634792272,24.86899600414255,4.5556787451119325,0.8085315227508545,-17.859493657162314,24.48265904610497,10.914414278198691,0.0,0.0,0.0,17.859493657162314,21.05129639280181,U-Net raw field diagnostic,unet_raw_max,19,16.143185658888385,11,0.42105263157894735,19
without_era5,rapid_intensification,0.42105263157894735,0.39670329670329674,,,,,,-11.994932977776779,19.41636531102907,5.438231324392652,-2.219879734516145,-7.77660501020926,-5.35285116496839,12.506642492193924,16.912865027750072,U-Net + correction,unet_correction,19,10.73346623507413,11,0.6842105263157895,
without_era5,rapid_intensification,0.3157894736842105,0.3031135531135531,0.4271006878096128,3.699220214707538,24.20979624712755,4.914881813874556,0.7951202925882841,-6.241031646728516,13.945756842598083,4.276539652688163,-4.842809986701384,-11.776076281070708,-8.925527070697985,8.93396658646433,12.067512687928733,Joint U-Net + MLP,joint_unet_mlp,19,7.205547592856667,11,0.7894736842105263,19
