subset,diagnostic,usable_ibtracs_sar_matches,matched_center_valid_samples,center_valid_rate,samples,storms,bias_ms,mae_ms,rmse_ms,pearson_correlation,spearman_correlation
all,sar_max,1285,866,0.6739299610894942,866,175,4.3194235175239655,7.149698395017201,11.0965874734951,0.7623532897895607,0.8059608661782975
all,sar_robust_peak,1285,866,0.6739299610894942,866,175,-2.00924604372559,5.522249275901572,7.826085069036743,0.8891125079673751,0.906400757968408
train,sar_max,841,568,0.6753864447086801,568,109,3.7193472739439444,6.7647125659453184,9.879582068349327,0.8037098668198267,0.8227497972539691
train,sar_robust_peak,841,568,0.6753864447086801,568,109,-2.190597836256213,5.585982533213344,7.939083090755649,0.8865755372165668,0.9010243605040177
val,sar_max,232,159,0.6853448275862069,159,33,4.8769077896671265,7.512018827431582,12.633621795715449,0.7223198626256075,0.80417446646609
val,sar_robust_peak,232,159,0.6853448275862069,159,33,-2.2123383364238305,5.247640938209945,6.8925911442765715,0.9325934663053389,0.9409911828850899
test,sar_max,212,139,0.6556603773584906,139,33,6.133835798694393,8.308425029254202,13.628218572661073,0.6793124282674675,0.707514589397698
test,sar_robust_peak,212,139,0.6556603773584906,139,33,-1.0358683984276458,5.575934423670511,8.347743839612853,0.8452906458774702,0.853554338809598
rapid_intensification,sar_max,134,92,0.6865671641791045,92,53,-2.108000121458555,5.696782554577255,7.445607677143518,0.7636154649834643,0.7862749256303897
rapid_intensification,sar_robust_peak,134,92,0.6865671641791045,92,53,-9.996761994289152,10.733514222711745,12.254807638118146,0.760240290396311,0.7446942958864416
non_rapid_intensification,sar_max,1151,774,0.6724587315377932,774,171,5.083406689082611,7.322396401891201,11.453425110945785,0.7081344278373056,0.769490990438851
non_rapid_intensification,sar_robust_peak,1151,774,0.6724587315377932,774,171,-1.059825543141807,4.902822434678658,7.118763607247548,0.86998310836535,0.8873297463575062
