sample_id,split,storm_id,condition_path,context_path,context_source_type,target_path,condition_source_type,target_source_type,condition_observation_id,target_observation_id,condition_timestamp,target_timestamp,condition_sensor,target_sensor,condition_channels,context_channels,target_channels,geo_path,era5_path,sar_path,geo_observation_id,sar_observation_id,geo_timestamp,sar_timestamp,dt_minutes,geo_sensor,sar_sensor,geo_channels,era5_observation_id,era5_timestamp,era5_channels,sar_channels,grid_size,grid_resolution,center_lat,center_lon,ibtracs_center_lat,ibtracs_center_lon,metadata_schema_version,storm_sample_index_all,storm_sample_count_all,storm_span_hours_all,storm_elapsed_hours,storm_remaining_hours,era5_time_gap_hours,ibtracs_center_offset_km,sar_valid_pixels,sar_valid_fraction,sar_max_wind_ms,sar_robust_peak_ms,sar_p95_wind_ms,sar_p99_wind_ms,sar_mean_wind_ms,sar_core_valid_pixels_0_100km,sar_core_valid_fraction_0_100km,sar_core_mean_wind_ms,sar_ring_valid_pixels_20_60km,sar_ring_valid_fraction_20_60km,sar_ring_mean_wind_ms,sar_ring_minus_core_mean_ms,sar_eye_valid_pixels_0_20km,sar_eye_valid_fraction_0_20km,sar_eye_mean_wind_ms,sar_eye_contrast_ms,sar_radial_profile_valid_bins,sar_radial_profile_peak_mean_ms,sar_rmw_km,sar_r64_km,era5_valid_pixels,era5_valid_fraction,era5_max_wind_ms,era5_robust_peak_ms,era5_p95_wind_ms,era5_p99_wind_ms,era5_mean_wind_ms,era5_core_valid_pixels_0_100km,era5_core_valid_fraction_0_100km,era5_core_mean_wind_ms,era5_ring_valid_pixels_20_60km,era5_ring_valid_fraction_20_60km,era5_ring_mean_wind_ms,era5_ring_minus_core_mean_ms,era5_eye_valid_pixels_0_20km,era5_eye_valid_fraction_0_20km,era5_eye_mean_wind_ms,era5_eye_contrast_ms,era5_radial_profile_valid_bins,era5_radial_profile_peak_mean_ms,era5_rmw_km,era5_r64_km,sar_minus_era5_max_ms,sar_minus_era5_robust_peak_ms,sar_minus_era5_p95_ms,sar_era5_common_valid_pixels,sar_era5_common_valid_fraction,sar_era5_common_mean_difference_ms,sar_has_valid_center,sar_radial_profile_usable_v1,sar_quality_usable_v1,sar_well_developed_v1,sar_high_intensity_v1,sar_weak_v1
AL012024_sar_geo_20240620004641_be678614,train,AL012024,train/AL012024_sar_geo_20240620004641_be678614_geo.tif,train/AL012024_sar_geo_20240620004641_be678614_era5.tif,era5,train/AL012024_sar_geo_20240620004641_be678614_sar.tif,geo,sar,AL012024:geo:cb45388cf0b92af4,AL012024:sar:d214b89a40ac7a9e,2024-06-20T00:50:21+00:00,2024-06-20T00:46:41+00:00,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL012024_sar_geo_20240620004641_be678614_geo.tif,train/AL012024_sar_geo_20240620004641_be678614_era5.tif,train/AL012024_sar_geo_20240620004641_be678614_sar.tif,AL012024:geo:cb45388cf0b92af4,AL012024:sar:d214b89a40ac7a9e,2024-06-20T00:50:21+00:00,2024-06-20T00:46:41+00:00,3.6666666666666665,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL012024:era5:98d8338061c2b6bf,2024-06-20T00:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,23.087897030474043,-98.70167475808395,21.528744353948056,-95.6197733035062,1,0,1,0.0,0.0,0.0,0.7780555555555555,361.3315422241799,3521,0.0537261962890625,30.439617156982422,25.625069088406033,16.90323829650879,21.561721038818387,11.408554991955311,0,0.0,,0,0.0,,,0,0.0,,,9,15.069131819407145,115.0,,23714,0.361846923828125,16.16273412110718,16.036019894475594,14.26714735105485,15.48401277892255,9.202067400463484,2778,1.0,6.6583565811391905,1038,1.0,5.105716193263462,-1.5526403878757282,149,1.0,3.3618034906254097,1.7439127026380525,20,9.033523932700827,115.0,,14.27688303587524,9.589049193930439,2.6360909454539385,3521,0.0537261962890625,2.304648733753386,True,True,False,False,False,False
AL012025_sar_geo_20250624092939_28ecf0b1,train,AL012025,train/AL012025_sar_geo_20250624092939_28ecf0b1_geo.tif,train/AL012025_sar_geo_20250624092939_28ecf0b1_era5.tif,era5,train/AL012025_sar_geo_20250624092939_28ecf0b1_sar.tif,geo,sar,AL012025:geo:d593b39b63ec71b1,AL012025:sar:ae6665eda8bb0209,2025-06-24T09:30:20+00:00,2025-06-24T09:29:39+00:00,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL012025_sar_geo_20250624092939_28ecf0b1_geo.tif,train/AL012025_sar_geo_20250624092939_28ecf0b1_era5.tif,train/AL012025_sar_geo_20250624092939_28ecf0b1_sar.tif,AL012025:geo:d593b39b63ec71b1,AL012025:sar:ae6665eda8bb0209,2025-06-24T09:30:20+00:00,2025-06-24T09:29:39+00:00,0.6833333333333333,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL012025:era5:2c89783bde99fed2,2025-06-24T12:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,39.10273164645053,-52.03167704935586,35.87623164645053,-50.55544911326496,1,0,3,11.861666666666666,0.0,11.861666666666666,2.5058333333333334,381.6643013486216,18154,0.277008056640625,19.606807708740234,7.298273621024666,5.799350476264953,6.385996599197396,3.0420376514114906,0,0.0,,0,0.0,,,0,0.0,,,0,,,,65536,1.0,12.807411878635332,12.68304211120532,10.894108652944368,12.350712804336224,5.246203004262592,2849,1.0,10.66773080235108,1002,1.0,10.89699821959541,0.22926741724432986,173,1.0,10.753690390045309,0.14330782955010157,20,10.997400793371494,45.0,,6.799395830104903,-5.3847684901806545,-5.094758176679415,18154,0.277008056640625,-0.38787816637458655,True,False,False,False,False,True
AL012025_sar_geo_20250624093045_6efd99c5,train,AL012025,train/AL012025_sar_geo_20250624093045_6efd99c5_geo.tif,train/AL012025_sar_geo_20250624093045_6efd99c5_era5.tif,era5,train/AL012025_sar_geo_20250624093045_6efd99c5_sar.tif,geo,sar,AL012025:geo:d593b39b63ec71b1,AL012025:sar:2ebc265238a788c0,2025-06-24T09:30:20+00:00,2025-06-24T09:30:45+00:00,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL012025_sar_geo_20250624093045_6efd99c5_geo.tif,train/AL012025_sar_geo_20250624093045_6efd99c5_era5.tif,train/AL012025_sar_geo_20250624093045_6efd99c5_sar.tif,AL012025:geo:d593b39b63ec71b1,AL012025:sar:2ebc265238a788c0,2025-06-24T09:30:20+00:00,2025-06-24T09:30:45+00:00,-0.4166666666666667,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL012025:era5:2c89783bde99fed2,2025-06-24T12:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,35.72932365003859,-51.87732771160485,35.87913776563089,-50.54999342625754,1,1,3,11.861666666666666,0.018333333333333333,11.843333333333334,2.4875,120.85345602580733,20568,0.3138427734375,25.159896850585938,21.777365601178513,16.845219993591307,20.02269529342651,8.790567669658861,3579,0.8309728349198978,15.197470867623828,1349,0.9818049490538574,16.823193092713804,1.6257222250899765,172,1.0,17.316937601843545,-0.49374450912974055,20,17.369594832723454,15.0,,65536,1.0,12.807411878635332,12.68934744443497,11.236268055459998,12.387728135233301,5.5999823015599,4307,1.0,10.046121353163803,1374,1.0,10.49753281015385,0.45141145699004603,172,1.0,10.767825480030458,-0.2702926698766088,20,10.86688044023588,5.0,,12.352484971950606,9.088018156743543,5.608951938131309,20568,0.3138427734375,2.1622214049268083,True,True,True,False,False,True
AL012025_sar_geo_20250624212121_5e9e73c9,train,AL012025,train/AL012025_sar_geo_20250624212121_5e9e73c9_geo.tif,train/AL012025_sar_geo_20250624212121_5e9e73c9_era5.tif,era5,train/AL012025_sar_geo_20250624212121_5e9e73c9_sar.tif,geo,sar,AL012025:geo:c542b21f4a19a4b1,AL012025:sar:921a34a6aafc4d9e,2025-06-24T21:20:20+00:00,2025-06-24T21:21:21+00:00,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL012025_sar_geo_20250624212121_5e9e73c9_geo.tif,train/AL012025_sar_geo_20250624212121_5e9e73c9_era5.tif,train/AL012025_sar_geo_20250624212121_5e9e73c9_sar.tif,AL012025:geo:c542b21f4a19a4b1,AL012025:sar:921a34a6aafc4d9e,2025-06-24T21:20:20+00:00,2025-06-24T21:21:21+00:00,-1.0166666666666666,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL012025:era5:2c89783bde99fed2,2025-06-25T00:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,36.8177580750126,-49.89496242257575,37.85402629833536,-47.30681482701738,1,2,3,11.861666666666666,11.861666666666666,0.0,2.6441666666666666,256.1804819962957,22314,0.340484619140625,13.640205383300781,12.025468860353742,8.668218183517455,10.869356431961057,6.323247193946247,345,0.08373786407766991,9.37640204222306,0,0.0,,,0,0.0,,,13,9.766411821720963,105.0,,65536,1.0,12.770542062274878,12.689750136109174,9.76422883937033,11.90926144985026,5.172005123111755,4120,1.0,8.653440120152554,1406,1.0,8.45797082590598,-0.19546929424657478,176,1.0,8.03753046103207,0.4204403648739099,20,8.903062587747584,75.0,,0.8696633210259037,-0.6642812757554317,-1.0960106558528757,22314,0.340484619140625,0.4621621237538526,True,True,False,False,False,True
AL022024_sar_geo_20240628210538_cb240a2d,train,AL022024,train/AL022024_sar_geo_20240628210538_cb240a2d_geo.tif,train/AL022024_sar_geo_20240628210538_cb240a2d_era5.tif,era5,train/AL022024_sar_geo_20240628210538_cb240a2d_sar.tif,geo,sar,AL022024:geo:86f0c13a9b2b7e32,AL022024:sar:0e728204adf9c999,2024-06-28T21:10:20+00:00,2024-06-28T21:05:38+00:00,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240628210538_cb240a2d_geo.tif,train/AL022024_sar_geo_20240628210538_cb240a2d_era5.tif,train/AL022024_sar_geo_20240628210538_cb240a2d_sar.tif,AL022024:geo:86f0c13a9b2b7e32,AL022024:sar:0e728204adf9c999,2024-06-28T21:10:20+00:00,2024-06-28T21:05:38+00:00,4.7,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-06-29T00:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,8.816676812335757,-41.73934219352641,9.102506591537429,-42.22784384265654,1,0,21,231.26305555555555,0.0,231.26305555555555,2.906111111111111,62.36281773414906,19021,0.2902374267578125,26.899980545043945,22.156274497509003,14.975915908813477,16.942072296142573,9.229726860095923,3536,1.0,10.256597460529923,1125,1.0,10.137317136552598,-0.1192803239773248,141,1.0,13.136115879031783,-2.9987987424791847,20,13.86925713221232,5.0,,65536,1.0,13.576119234892575,13.456298597608225,12.72226556365733,13.221029039107156,7.13246218861141,3536,1.0,8.286597586164048,1125,1.0,7.492864836049924,-0.7937327501141231,141,1.0,7.1324106896112225,0.3604541464387019,20,9.303948954121124,115.0,,13.32386131015137,8.699975899900778,2.253650345156146,19021,0.2902374267578125,0.9965866635126996,True,True,True,False,False,True
AL022024_sar_geo_20240629083305_6b58ded2,train,AL022024,train/AL022024_sar_geo_20240629083305_6b58ded2_geo.tif,train/AL022024_sar_geo_20240629083305_6b58ded2_era5.tif,era5,train/AL022024_sar_geo_20240629083305_6b58ded2_sar.tif,geo,sar,AL022024:geo:56b53bd0b2971e6e,AL022024:sar:98031663687d3494,2024-06-29T08:30:21+00:00,2024-06-29T08:33:05+00:00,ABI,RADARSAT Constellation 2,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240629083305_6b58ded2_geo.tif,train/AL022024_sar_geo_20240629083305_6b58ded2_era5.tif,train/AL022024_sar_geo_20240629083305_6b58ded2_sar.tif,AL022024:geo:56b53bd0b2971e6e,AL022024:sar:98031663687d3494,2024-06-29T08:30:21+00:00,2024-06-29T08:33:05+00:00,-2.7333333333333334,ABI,RADARSAT Constellation 2,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-06-29T06:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,10.1028933120305,-42.74470491072678,9.58424217418287,-45.97120491072678,1,1,21,231.26305555555555,11.4575,219.80555555555554,2.551388888888889,358.1596545989337,18882,0.288116455078125,19.989078521728516,12.633857235155608,9.331562805175782,10.703002767562866,6.739380211682911,0,0.0,,0,0.0,,,0,0.0,,,0,,,,65536,1.0,13.809374006627198,13.696579598554443,12.69060157247025,13.414020521563033,8.875556839783215,2326,1.0,8.618961993121577,829,1.0,8.438029776391264,-0.18093221673031223,141,1.0,8.207885456410892,0.2301443199803721,20,9.400962264535767,145.0,,6.179704515101317,-1.0627223633988354,-3.359038767294468,18882,0.288116455078125,-2.8790460708667363,True,False,False,False,False,True
AL022024_sar_geo_20240629211429_81ae0555,train,AL022024,train/AL022024_sar_geo_20240629211429_81ae0555_geo.tif,train/AL022024_sar_geo_20240629211429_81ae0555_era5.tif,era5,train/AL022024_sar_geo_20240629211429_81ae0555_sar.tif,geo,sar,AL022024:geo:ec90435453e06ffd,AL022024:sar:5d54b8effe8fd573,2024-06-29T21:10:21+00:00,2024-06-29T21:14:29+00:00,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240629211429_81ae0555_geo.tif,train/AL022024_sar_geo_20240629211429_81ae0555_era5.tif,train/AL022024_sar_geo_20240629211429_81ae0555_sar.tif,AL022024:geo:ec90435453e06ffd,AL022024:sar:5d54b8effe8fd573,2024-06-29T21:10:21+00:00,2024-06-29T21:14:29+00:00,-4.133333333333334,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-06-30T00:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,11.351329440009984,-46.706020175089805,10.006618494295273,-49.67355773082892,1,2,21,231.26305555555555,24.1475,207.11555555555555,2.758611111111111,357.06622443288717,18908,0.28851318359375,21.03423309326172,15.86169500852886,11.942913007736204,13.81090647697449,8.827568171365785,0,0.0,,0,0.0,,,0,0.0,,,3,10.75276020486304,195.0,,65536,1.0,15.965965973478983,15.620173125037004,13.756413429975291,15.217499976940145,8.251168563237616,2911,1.0,12.589551193983484,1105,1.0,13.03230831187374,0.44275711789025607,142,1.0,13.42199059197095,-0.38968228009720995,20,13.52546195499138,5.0,,5.068267119782735,0.24152188349185622,-1.8135004222390876,18908,0.28851318359375,0.6128482210841893,True,False,False,False,False,True
AL022024_sar_geo_20240630091253_118f10ba,train,AL022024,train/AL022024_sar_geo_20240630091253_118f10ba_geo.tif,train/AL022024_sar_geo_20240630091253_118f10ba_era5.tif,era5,train/AL022024_sar_geo_20240630091253_118f10ba_sar.tif,geo,sar,AL022024:geo:aea86730c8f27f4d,AL022024:sar:05cd144b7998dade,2024-06-30T09:10:21+00:00,2024-06-30T09:12:53+00:00,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240630091253_118f10ba_geo.tif,train/AL022024_sar_geo_20240630091253_118f10ba_era5.tif,train/AL022024_sar_geo_20240630091253_118f10ba_sar.tif,AL022024:geo:aea86730c8f27f4d,AL022024:sar:05cd144b7998dade,2024-06-30T09:10:21+00:00,2024-06-30T09:12:53+00:00,-2.533333333333333,ABI,RADARSAT Constellation 1,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-06-30T12:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,11.09387562144434,-52.33408507981768,10.402368535327136,-53.25905669147679,1,3,21,231.26305555555555,36.12083333333333,195.14222222222222,2.785277777777778,126.97597276936207,19219,0.2932586669921875,49.84000015258789,42.85546410944044,22.99991264343259,36.24559867858884,13.654262411599973,3411,0.9616577389343107,20.92392340883486,1133,1.0,26.896539644340656,5.972616235505797,141,1.0,29.839708348538014,-2.943168704197358,20,33.43696423121861,25.0,25.0,65536,1.0,19.942494725837715,19.39019662897589,15.245379882057541,17.834153011627368,9.8886786636097,3547,1.0,14.400495312271767,1133,1.0,15.081954751430713,0.6814594391589459,141,1.0,16.932921977172775,-1.8509672257420622,20,17.380822055075807,5.0,,29.897505426750175,23.46526748046455,7.754532761375049,19219,0.2932586669921875,1.2327967480432898,True,True,True,False,False,False
AL022024_sar_geo_20240630215513_47c355af,train,AL022024,train/AL022024_sar_geo_20240630215513_47c355af_geo.tif,train/AL022024_sar_geo_20240630215513_47c355af_era5.tif,era5,train/AL022024_sar_geo_20240630215513_47c355af_sar.tif,geo,sar,AL022024:geo:89b2ff0b677c7b9d,AL022024:sar:34093056dda88fdf,2024-06-30T21:50:21+00:00,2024-06-30T21:55:13+00:00,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240630215513_47c355af_geo.tif,train/AL022024_sar_geo_20240630215513_47c355af_era5.tif,train/AL022024_sar_geo_20240630215513_47c355af_sar.tif,AL022024:geo:89b2ff0b677c7b9d,AL022024:sar:34093056dda88fdf,2024-06-30T21:50:21+00:00,2024-06-30T21:55:13+00:00,-4.866666666666666,ABI,RADARSAT Constellation 3,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-07-01T00:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,11.909975516390304,-56.04613090682148,11.140409853552232,-56.739573363400666,1,4,21,231.26305555555555,48.826388888888886,182.43666666666667,2.0797222222222222,114.15175552770046,19032,0.2904052734375,55.900001525878906,45.32416673501333,24.739965438842773,34.040000915527344,15.135654750542763,3362,0.9457102672292546,22.66775477833155,1135,1.0,25.113601925719678,2.445847147388129,141,1.0,38.771177413615774,-13.657575487896096,20,41.345961589079636,15.0,25.0,65536,1.0,21.473066255237523,21.327259766693658,17.581971852016057,19.984059979947244,10.407214972065297,3555,1.0,14.849282026286993,1135,1.0,14.789269424514508,-0.060012601772484686,141,1.0,17.12587743221948,-2.336608007704971,20,17.43267296413381,5.0,,34.42693527064138,23.99690696831967,7.157993586826716,19032,0.2904052734375,2.005346290316242,True,True,True,False,True,False
AL022024_sar_geo_20240701094742_05f6a96e,train,AL022024,train/AL022024_sar_geo_20240701094742_05f6a96e_geo.tif,train/AL022024_sar_geo_20240701094742_05f6a96e_era5.tif,era5,train/AL022024_sar_geo_20240701094742_05f6a96e_sar.tif,geo,sar,AL022024:geo:47b273f25fbe6339,AL022024:sar:6e147d7042fe743b,2024-07-01T09:50:21+00:00,2024-07-01T09:47:42+00:00,ABI,RADARSAT-2,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]","[""era5_precipitable_water"", ""era5_sst"", ""era5_pressure_msl"", ""era5_temperature_2m"", ""era5_dewpoint_2m"", ""era5_u_wind_10m"", ""era5_v_wind_10m""]","[""wind_speed""]",train/AL022024_sar_geo_20240701094742_05f6a96e_geo.tif,train/AL022024_sar_geo_20240701094742_05f6a96e_era5.tif,train/AL022024_sar_geo_20240701094742_05f6a96e_sar.tif,AL022024:geo:47b273f25fbe6339,AL022024:sar:6e147d7042fe743b,2024-07-01T09:50:21+00:00,2024-07-01T09:47:42+00:00,2.65,ABI,RADARSAT-2,"[""CMI_C07"", ""CMI_C08"", ""CMI_C09"", ""CMI_C10"", ""CMI_C11"", ""CMI_C12"", ""CMI_C13"", ""CMI_C14"", ""CMI_C15"", ""CMI_C16""]",AL022024:era5:98e9800efb06ab0d,2024-07-01T12:00:00+00:00,"[""precipitable_water"", ""sst"", ""pressure_msl"", ""temperature_2m"", ""dewpoint_2m"", ""u_wind_10m"", ""v_wind_10m""]","[""wind_speed""]",256,0.027,14.73464827230994,-59.80912730440385,11.75050243843972,-60.0148566639528,1,5,21,231.26305555555555,60.70111111111111,170.56194444444444,2.205,332.56800901234146,43917,0.6701202392578125,59.68000030517578,48.763636467673564,22.85197257995598,37.41679870605462,12.627489127408563,2895,0.9941620879120879,27.248065087379363,1107,1.0,34.012067395066396,6.764002307687033,141,1.0,31.468885753171662,2.5431816418947335,20,43.33157415390015,25.0,35.0,65536,1.0,25.114941722012755,24.505949102353387,18.315748856501404,23.308428987755033,12.024605153119849,2912,1.0,18.92600999797466,1107,1.0,19.57446771680984,0.6484577188351786,141,1.0,21.938341186870765,-2.363873470060927,20,22.190408734331225,5.0,,34.56505858316302,24.257687365320177,4.536223723454576,43917,0.6701202392578125,-0.04379652668698583,True,True,True,False,True,False
