storm_id,storm_name,basin,storm_start,storm_end,inference_available,available_models,time,lat,lon,category,ibtracs_msw,vit_prediction.max,vit_prediction.p90,vit_prediction.mean,vit_prediction.core_mean,vit_prediction.rmw,vit_prediction.r64,unet_prediction.max,unet_prediction.p90,unet_prediction.mean,unet_prediction.core_mean,unet_prediction.rmw,unet_prediction.r64,unet_mlp_prediction.max,unet_mlp_prediction.category,unet_mlp_prediction.raw_unet_max_wind_ms,unet_mlp_prediction.correction_ms,geo_overlay.image,geo_overlay.bounds,geo_overlay.kind,geo_overlay.channel,geo_overlay.size,sar,sar_overlay,sar_dt_minutes,geo_overlay,sar.max,sar.p90,sar.mean,sar.core_mean,sar.rmw,sar_overlay.image,sar_overlay.bounds,sar_overlay.min,sar_overlay.max,unet_prediction,unet_mlp_prediction
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T01:30:19Z,21.75,-56.902,1,32.157,27.0,18.98,13.759,17.899,15.0,,27.872,15.932,10.626,18.988,0.0,,44.182,2,39.297,4.884,geo/AL082025_geo_810b91ecef3f3eba.webp,"[[20.036,-58.617],[23.465,-55.188]]",Geostationary,CMI_C15,256,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T01:50:19Z,21.761,-56.9,1,32.443,30.345,19.027,13.766,18.081,5.0,,27.983,15.891,10.631,19.031,0.0,,43.851,2,38.972,4.878,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T02:10:19Z,21.772,-56.899,1,32.729,27.715,17.575,12.874,16.924,15.0,,28.4,15.823,10.639,19.081,0.0,,43.357,2,38.468,4.889,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T02:30:19Z,21.784,-56.898,1,33.015,28.508,17.023,12.545,16.534,5.0,,28.304,15.785,10.648,19.111,0.0,,43.82,2,38.959,4.861,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T02:50:19Z,21.795,-56.899,1,33.301,24.751,15.357,11.377,14.703,25.0,,27.967,15.734,10.658,19.189,0.0,,43.141,2,38.225,4.916,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T03:10:19Z,21.806,-56.902,1,33.586,26.99,14.738,10.887,14.53,25.0,,33.634,17.943,11.828,22.2,3.018,,46.878,2,41.959,4.919,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T03:30:19Z,21.817,-56.906,1,33.872,30.576,15.998,11.787,15.811,35.0,,33.145,17.882,11.822,22.224,0.0,,45.184,2,40.268,4.915,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T03:50:19Z,21.828,-56.913,1,34.158,30.336,15.719,11.386,15.801,15.0,,33.034,17.906,11.811,22.213,0.0,,45.813,2,40.895,4.917,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T04:10:19Z,21.839,-56.922,1,34.444,29.832,15.937,11.367,15.631,25.0,,32.064,18.07,11.806,22.336,0.0,,45.653,2,40.733,4.92,,,,,,,,,,,,,,,,,,,,
AL082025,HUMBERTO,North Atlantic,2025-09-26T01:30:19Z,2025-10-01T10:20:20Z,True,"[""vit"",""unet"",""unet_mlp""]",2025-09-26T04:30:19Z,21.85,-56.932,1,34.73,29.409,17.081,12.26,16.865,15.0,,31.491,18.171,11.795,22.37,0.0,,47.248,2,42.328,4.92,geo/AL082025_geo_5a980ea2a91add52.webp,"[[20.135,-58.647],[23.564,-55.218]]",Geostationary,CMI_C15,256,,,,,,,,,,,,,,,
